tt0064893	Ring of Bright Water	1969	Action,Comedy,Drama	en	107	Whoever said dog is man's best friend never met Mij. Mij is a cute, cuddly pet-shop otter who captures the heart of Graham Merill (Bill Travers). It doesn't take Graham long to realize that London is no place to raise a slippery otter. So he takes Mij to live in a ramshackle cottage on the coast of Scotland. Together they explore the curious and magnificent natural wonders that surround their seaside home--from orphaned geese to toothless sharks. While Mij spends his days frolicking in the icy-cold sea, Graham falls in love with the beautiful town doctor, Mary (Virginia McKenna). Before long, the three become inseparable friends.	NULL
tt0091517	Wu ye li ren	1986	Action,Drama	cn	96	The story of two women, Blackie and Ling, who are trying to make a living for themselves so that they can escape the hard-knock existence of Hong Kong's slums.	NULL
tt1470023	MacGruber	2010	Action,Comedy,Romance	en	90	In the Dzhugdzhur Mountains, Eastern Siberia, the criminal Dieter Von Cunth steals a Russian X5 nuclear warhead. Colonel James Faith travels to Rio Bamba, Ecuador, with the efficient Lieutenant Dixon Piper to summon the retired special operative MacGruber to retrieve the X5. MacGruber is considered deceased after the death of his beloved wife Casey by his archenemy Cunth in their wedding. MacGruber teams up with Piper and Vicki St. Elmo and they learn that the evil Cunth intends to use the warhead to destroy Washington D.C.	R
tt0035138	Nothing But Nerves	1942	Action,Comedy	en	NULL	After some investigation, Robert Benchley finds his nerves are in a bad state. He has the jitters so bad he can't hold his cup still enough to drink his coffee, and he thinks the arrival of some plumbers is just a giant conspiracy to keep him unnerved.	NULL
tt0095452	King Size	1988	Action,Adventure,Comedy,Fantasy,Sci-Fi	pl	105	Journalist Olgierd Jedlina seems to be obsessed with the themes somehow connected to the dwarfs and not the little people, but dwarfs as in fairy tales. There is a reason to that - he is a dwarf himself and he used to live in one of the drawers in place known as Drawersland (Szuflandia). But now he is in what dwarfs call King Size, which means that he is no different from people. The dwarfs can live among the people completely unnoticed as long as they will drink Polo-Cocta, otherwise they would shrink back to their small form. Olgierd is one of the dwarfs that were lucky enough to gain access to Polo-Cocta, but the ruthless leader of Drawersland wants to keep all the dwarfs in the small form threating any of the Polo-Cocta drinking dwarfs as traitors. But Olgierd is forced to return to Drawersland when his friend is arrested. What sounds like completely insane story for children is in fact one of the best sci fi comedies, although you have to understand the background of the production. King Size was created in times when Poland was still a communist country and the citizens were usually unable to leave Poland on their own free will. Juliusz Machulski, author of few great comedies, managed to parody the whole communist system by turning the story into fairy-tale like production, where actors are working with giant props. A must see - great comedy that parodies any dictatorship country even in present times.	NULL
tt0079285	Saturn 3	1980	Action,Adventure,Horror,Sci-Fi,Thriller	en	88	Two lovers stationed at a remote base in the asteroid fields of Saturn are intruded upon by a retentive technocrat from Earth and his charge: a malevolent eight-foot robot. Remember, in space, no one can hear you scream.	NULL
tt0081583	Sweater Girls	1978	Action,Comedy	en	84	A group of teenage girls forms a club, The Sweater Girls, to preserve their virginity.	NULL
tt0117515	Rose Hill	1997	Action,Family,Western	en	90	Four orphan boys running from the law in New York stumble upon a baby in a carriage. They name her Mary Rose and take her West with them. Eventually they set up a ranch which they name Rose Hill. Mary Rose grows up to be a beautiful woman and gets involved with a man who kills one of her brothers. The others then reveal that they found her in New York, and she goes back there to find her real family. While she's gone, Rose Hill starts falling apart: her oldest brother has fallen ill and the other two have gone their separate ways.	PG
tt0082176	Christiane F.	1981	Action,Biography,Drama	de	138	This movie portrays the drug scene in Berlin in the 1970s, following tape recordings of Christiane F. 14-year-old Christiane lives with her mother and little sister in a typical multi-story apartment building in Berlin. She's fascinated by 'The Sound', a new disco with the most modern equipment. Although legally she's too young, she asks a friend to take her. There, she meets Detlef, who's in a clique where everybody's on drugs. Step by step she gets drawn deeper into the scene.	NULL
tt13922510	Extremely Analytical	2021	Action,Comedy	en	NULL	Janet Roth bares all in a blistering stand-up special about marriage, Millennial dating and living in LA. And she won't spare you the details.	NULL
tt3495000	Mardaani	2014	Action,Crime,Drama,Thriller	hi	113	India is the world's hub for child sex trafficking - Nearly 40,000 children are abducted every year - Every 8 minutes a girl child goes missing in India. Mardaani, is a story of Shivani Shivaji Roy, Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia.	NULL
